timestamp,thrust[0],thrust[1],thrust[2],thrust[3]
1704712224832626,0.23600000,0.27900001,0.24900000,0.23300000
1704712224842126,0.23000000,0.28400001,0.24200000,0.23500000
1704712224852291,0.22900000,0.28200001,0.24600001,0.23400000
1704712224862200,0.21900000,0.26800001,0.25900000,0.24500000
1704712224872175,0.22200000,0.27900001,0.25000000,0.23999999
1704712224882206,0.23199999,0.28700000,0.24200000,0.23100001
1704712224892289,0.22499999,0.27800000,0.25000000,0.24200000
1704712224902780,0.23199999,0.27500001,0.25500000,0.23199999
1704712224912335,0.23100001,0.28099999,0.24900000,0.23300000
1704712224922343,0.23600000,0.27000001,0.26199999,0.23100001
1704712224932559,0.23500000,0.27800000,0.25799999,0.23300000
1704712224942322,0.23300000,0.28400001,0.25200000,0.23999999
1704712224952432,0.23500000,0.27599999,0.26100001,0.23700000
1704712224962457,0.23199999,0.27500001,0.26400000,0.24500000
1704712224972489,0.23999999,0.28099999,0.25799999,0.23800001
1704712224982601,0.24600001,0.28400001,0.25500000,0.23100001
1704712224992534,0.23500000,0.27700001,0.26499999,0.23999999
1704712225002558,0.22900000,0.28000000,0.26100001,0.24600001
1704712225012612,0.23500000,0.28099999,0.25900000,0.23999999
1704712225022635,0.23800001,0.27399999,0.26199999,0.23700000
1704712225032625,0.22300000,0.27500001,0.25900000,0.24500000
1704712225042595,0.22900000,0.27300000,0.25900000,0.23700000
1704712225052607,0.22900000,0.27700001,0.25600001,0.23800001
1704712225062137,0.22300000,0.28000000,0.25200000,0.24300000
1704712225072684,0.22800000,0.27599999,0.25400001,0.23600000
1704712225082171,0.23199999,0.27500001,0.25400001,0.23300000
1704712225092242,0.23199999,0.28000000,0.25000000,0.23100001
1704712225102206,0.21900000,0.28099999,0.24699999,0.24600001
1704712225112155,0.23300000,0.27599999,0.25600001,0.23100001
1704712225123582,0.22600000,0.28099999,0.25299999,0.23700000
1704712225132680,0.23300000,0.28099999,0.25099999,0.23500000
1704712225142269,0.23899999,0.28200001,0.25099999,0.22600000
1704712225152254,0.23500000,0.27100000,0.25900000,0.23000000
1704712225162285,0.23000000,0.27599999,0.25799999,0.23500000
1704712225172347,0.22800000,0.27300000,0.25999999,0.23800001
1704712225182353,0.23000000,0.28000000,0.25299999,0.23700000
1704712225192324,0.23800001,0.28099999,0.25200000,0.22900000
1704712225202380,0.23500000,0.27200001,0.26499999,0.23100001
1704712225212474,0.23199999,0.27300000,0.26199999,0.23500000
1704712225222459,0.22800000,0.26899999,0.26499999,0.23999999
1704712225232476,0.22600000,0.27100000,0.26100001,0.24100000
1704712225242484,0.23100001,0.28099999,0.25500000,0.23700000
1704712225252469,0.23199999,0.28299999,0.25299999,0.23600000
1704712225262471,0.23800001,0.27300000,0.26400000,0.23400000
1704712225272487,0.23700000,0.28200001,0.25400001,0.23500000
1704712225282520,0.22900000,0.27900001,0.25799999,0.24200000
1704712225293023,0.23300000,0.28200001,0.25600001,0.23600000
1704712225302505,0.22499999,0.28000000,0.25700000,0.24500000
1704712225312504,0.22800000,0.27900001,0.25999999,0.23999999
1704712225322601,0.23300000,0.28000000,0.25999999,0.23700000
1704712225332650,0.22700000,0.28500000,0.25400001,0.24300000
1704712225343219,0.22400001,0.27200001,0.26699999,0.24500000
1704712225352165,0.23000000,0.27800000,0.26300001,0.23899999
1704712225362163,0.23199999,0.28999999,0.24600001,0.23400000
