timestamp,roll,pitch,yaw,norm_thrust
1704712215102883,-0.02508046,-0.01350232,-0.00471239,10.89177418
1704712215108928,-0.02484379,-0.01282740,-0.00459064,10.87976456
1704712215114943,-0.02691095,-0.01194581,-0.00447081,10.87794685
1704712215120867,-0.02510645,-0.00931377,-0.00457554,10.87106323
1704712215126934,-0.02564582,-0.01014428,-0.00461132,10.85234833
1704712215132972,-0.02485864,-0.00973128,-0.00448559,10.84137821
1704712215140934,-0.02328672,-0.00877236,-0.00432208,10.81967926
1704712215144885,-0.02334937,-0.00819138,-0.00412751,10.80571461
1704712215152916,-0.02162622,-0.00798839,-0.00416872,10.77840137
1704712215158829,-0.02390677,-0.01103796,-0.00421076,10.76145935
1704712215165099,-0.02575467,-0.01430439,-0.00426016,10.74485397
1704712215170967,-0.02747273,-0.01885463,-0.00430802,10.72259140
1704712215176940,-0.02600200,-0.01871762,-0.00434420,10.70950222
1704712215182934,-0.02350235,-0.01908836,-0.00446136,10.69951725
1704712215188957,-0.01799865,-0.02071691,-0.00468989,10.68150806
1704712215194903,-0.01015308,-0.02098465,-0.00483052,10.67749500
1704712215200913,-0.00192888,-0.01383209,-0.00494961,10.66989899
1704712215210910,0.00491309,-0.01168943,-0.00470889,10.65370560
1704712215216955,0.00972391,-0.00816712,-0.00480687,10.65240860
1704712215222946,0.01038631,-0.01123160,-0.00473765,10.65629578
1704712215228880,0.00960307,-0.01403200,-0.00457825,10.64727688
1704712215234914,0.00612912,-0.01695886,-0.00456274,10.65198326
1704712215241069,0.00190847,-0.02126124,-0.00438222,10.65421295
1704712215246910,-0.00314981,-0.02441771,-0.00419173,10.64857578
1704712215252940,-0.00576434,-0.02569361,-0.00417086,10.65352726
1704712215258943,-0.00434302,-0.02657817,-0.00429500,10.66027927
1704712215266930,-0.00535870,-0.02278962,-0.00433210,10.66036987
1704712215272934,-0.00454250,-0.02010090,-0.00423035,10.65462971
1704712215278890,-0.00344737,-0.01371420,-0.00415144,10.66178322
1704712215284986,-0.00249685,-0.00613468,-0.00420400,10.66481400
1704712215291091,-0.00462740,-0.00538122,-0.00424078,10.65970707
1704712215296945,-0.00525830,-0.00083223,-0.00435900,10.66297626
1704712215302925,-0.00382668,0.00325469,-0.00440330,10.66512394
1704712215309004,-0.00297886,0.00032129,-0.00425324,10.65426636
1704712215314942,0.00117115,0.00159616,-0.00416701,10.65055084
1704712215320897,0.00296537,-0.00051370,-0.00412583,10.64959049
1704712215328881,0.00550855,-0.00042248,-0.00405316,10.63442135
1704712215336943,0.00709974,-0.00606994,-0.00397171,10.62407589
1704712215342931,0.01156065,-0.00446674,-0.00404384,10.61608028
1704712215348961,0.01356092,-0.00728280,-0.00402270,10.59958553
1704712215354914,0.01475539,-0.00872823,-0.00396137,10.59404373
1704712215360906,0.01547675,-0.00729980,-0.00382028,10.58731174
1704712215366948,0.01321093,-0.01339839,-0.00374764,10.57271862
1704712215372898,0.01308514,-0.01959444,-0.00352610,10.56839561
1704712215379024,0.01077704,-0.01976937,-0.00340145,10.56510639
1704712215384934,0.01019423,-0.02655462,-0.00321374,10.55526161
1704712215388892,0.01308554,-0.02771898,-0.00330947,10.55077171
1704712215398919,0.01108838,-0.02401712,-0.00290752,10.55191326
1704712215404903,0.01335622,-0.01617887,-0.00252430,10.55450726
1704712215410902,0.01207124,-0.01178314,-0.00221822,10.54922962
1704712215416951,0.01528242,-0.00507438,-0.00200156,10.55531216
1704712215422995,0.01821795,0.00068430,-0.00199386,10.56648159
1704712215428914,0.01870780,0.00143261,-0.00193599,10.56785583
1704712215434930,0.02040614,0.01017195,-0.00194385,10.57579231
1704712215440935,0.02051236,0.01404340,-0.00202109,10.59049129
1704712215446927,0.01982296,0.01323408,-0.00194314,10.59084129
1704712215452933,0.01728887,0.01386104,-0.00196272,10.60137939
1704712215458960,0.01225890,0.00902147,-0.00190347,10.61752892
1704712215468932,0.00121364,-0.00019310,-0.00173907,10.62193012
1704712215474960,-0.00756271,-0.00775488,-0.00182477,10.63836861
1704712215480894,-0.01527451,-0.01134563,-0.00189445,10.64862156
1704712215486932,-0.02157823,-0.01584414,-0.00197417,10.64777184
1704712215492948,-0.02396586,-0.01641485,-0.00186156,10.65670395
1704712215498898,-0.02334582,-0.01243645,-0.00138954,10.66156578
1704712215504924,-0.02310359,-0.01276377,-0.00111404,10.65304279
1704712215508953,-0.02134413,-0.01331114,-0.00120415,10.65021229
1704712215516992,-0.01429714,-0.01291239,-0.00123872,10.64143085
1704712215522925,-0.00968763,-0.00925923,-0.00124712,10.63741970
1704712215530879,-0.00376756,-0.00537887,-0.00114222,10.62198257
1704712215536999,-0.00205853,-0.00463795,-0.00114076,10.61420918
1704712215542993,-0.00059674,-0.00279058,-0.00121961,10.60447598
1704712215548921,0.00118552,-0.00438951,-0.00123746,10.58586311
1704712215554981,0.00218994,0.00153083,-0.00109444,10.57125568
1704712215558958,0.00177539,0.00677965,-0.00117049,10.55725098
1704712215566962,-0.00516286,0.01107636,-0.00128609,10.53614902
1704712215572907,-0.00948324,0.01843815,-0.00125294,10.52159977
1704712215578974,-0.01330259,0.01995744,-0.00124701,10.51459312
1704712215584969,-0.01785455,0.01555313,-0.00120782,10.49946117
1704712215590916,-0.02305374,0.01689782,-0.00126081,10.49377441
1704712215596928,-0.03066077,0.01320574,-0.00143186,10.48232937
1704712215606904,-0.03898547,0.00950152,-0.00196533,10.47387218
1704712215612991,-0.04399911,0.00162625,-0.00216443,10.47316647
1704712215614945,-0.04558708,-0.00271797,-0.00215776,10.47616673
1704712215624907,-0.04480279,-0.01550630,-0.00201924,10.46118641
1704712215630876,-0.04298008,-0.01975603,-0.00194602,10.45856762
1704712215636970,-0.03914134,-0.02160447,-0.00212218,10.45594025
1704712215642967,-0.03688829,-0.02439172,-0.00193114,10.44573021
1704712215646937,-0.03466782,-0.02157105,-0.00182337,10.44017124
1704712215654969,-0.02742795,-0.01187033,-0.00167426,10.43839645
1704712215660929,-0.02282220,-0.01375397,-0.00159415,10.42805958
1704712215668949,-0.01492282,-0.00974181,-0.00138478,10.41684628
1704712215674969,-0.01223434,-0.00952109,-0.00122566,10.41715336
1704712215680939,-0.01072899,-0.00746312,-0.00116131,10.41317368
1704712215686918,-0.01156270,-0.00606819,-0.00132324,10.40343571
1704712215692960,-0.01427456,-0.00513363,-0.00145598,10.40585423
1704712215699014,-0.01635757,-0.01001823,-0.00138223,10.40753365
1704712215704963,-0.01806182,-0.01447299,-0.00129895,10.40232754
1704712215710973,-0.02413118,-0.02146782,-0.00129510,10.41062355
1704712215716994,-0.02693244,-0.02823645,-0.00107135,10.41804218
1704712215722943,-0.03179787,-0.03280518,-0.00093353,10.41973495
1704712215728973,-0.03671780,-0.03723944,-0.00084505,10.43320656
1704712215734951,-0.03661485,-0.03761669,-0.00065727,10.44636822
1704712215744964,-0.03553760,-0.03474189,-0.00040573,10.45908546
1704712215750890,-0.03293812,-0.01921561,-0.00028465,10.46997261
1704712215756919,-0.03015283,-0.01199481,-0.00020952,10.47508240
1704712215762948,-0.02798465,-0.00510715,-0.00002742,10.48868847
1704712215768962,-0.02534030,-0.00029034,0.00006813,10.48768997
1704712215774926,-0.02002023,0.01425486,-0.00014395,10.50578690
1704712215780920,-0.01612200,0.01354747,-0.00021673,10.50282001
1704712215787107,-0.00863373,0.02359200,-0.00045620,10.50217915
1704712215792937,-0.00582977,0.02502638,-0.00041252,10.49513054
1704712215800961,-0.00072062,0.02432363,-0.00038624,10.50033379
1704712215806906,0.00039729,0.02105707,-0.00021102,10.49078846
1704712215812953,0.00157062,0.01608001,-0.00004039,10.49052143
1704712215818952,0.00251008,0.01255901,-0.00004724,10.48399448
1704712215824898,0.00315945,0.00440867,-0.00002011,10.47016907
1704712215830870,0.00186051,-0.00382167,-0.00024868,10.46484852
1704712215836964,0.00183684,-0.01215769,-0.00034959,10.45517921
1704712215842986,-0.00025086,-0.02105592,-0.00027852,10.43906593
1704712215848938,-0.00199602,-0.02365891,0.00002452,10.42981243
1704712215854950,-0.00239960,-0.02716654,0.00033801,10.42234516
1704712215860951,-0.00618218,-0.03188775,0.00030119,10.40859795
1704712215866938,-0.00956114,-0.03108260,0.00033074,10.40029049
1704712215872946,-0.01149171,-0.02886686,0.00027515,10.38237476
1704712215882963,-0.01060032,-0.01812765,0.00057808,10.37076092
1704712215888965,-0.00917542,-0.00687618,0.00065586,10.36384296
